"ano","id_municipio","id_municipio_nome","sigla_uf","natureza_juridica","populacao_atendida_agua","populacao_atentida_esgoto","populacao_urbana","volume_agua_produzido","volume_agua_faturado","consumo_eletrico_sistemas_agua","consumo_eletrico_sistemas_esgoto","volume_esgoto_tratado","volume_esgoto_faturado","receita_operacional_direta","receita_operacional_direta_agua","receita_operacional_direta_esgoto","arrecadacao_total","despesa_energia","investimento_agua_prestador","investimento_esgoto_prestador","investimento_total_prestador","investimento_agua_municipio","investimento_esgoto_municipio","investimento_total_municipio","investimento_agua_estado","investimento_esgoto_estado","investimento_total_estado"
1999,"2921708","Morro do Chapéu","BA","Sociedade de economia mista com administracao publica",NA,NA,18249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,"2922706","Nova Canaã","BA","Sociedade de economia mista com administracao publica",NA,NA,5468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"2922730","Nova Fátima","BA","Sociedade de economia mista com administracao publica",NA,NA,4441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"2925006","Planalto","BA","Sociedade de economia mista com administracao publica",NA,NA,10799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"2926806","Rio do Antônio","BA","Sociedade de economia mista com administracao publica",NA,NA,5112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"2927002","Rio Real","BA","Sociedade de economia mista com administracao publica",NA,NA,17650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"2927804","Santa Cruz da Vitória","BA","Sociedade de economia mista com administracao publica",NA,NA,4806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"2929701","Sátiro Dias","BA","Sociedade de economia mista com administracao publica",NA,NA,3475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"2931509","Teofilândia","BA","Sociedade de economia mista com administracao publica",NA,NA,5819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"2933208","Vera Cruz","BA","Sociedade de economia mista com administracao publica",25956,3172,28712,3872,2172.5,NA,NA,14.6,11.3,NA,2253649,NA,1926607.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"2100402","Altamira do Maranhão","MA","Sociedade de economia mista com administracao publica",NA,NA,2894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,"2101301","Bacuri","MA","Sociedade de economia mista com administracao publica",NA,NA,2857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"2102200","Buriti","MA","Sociedade de economia mista com administracao publica",NA,NA,7236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,"2103257","Cidelândia","MA","Sociedade de economia mista com administracao publica",NA,NA,4274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"2103802","Dom Pedro","MA","Sociedade de economia mista com administracao publica",NA,NA,14037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"2105609","Joselândia","MA","Sociedade de economia mista com administracao publica",NA,NA,4363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,"2105609","Joselândia","MA","Sociedade de economia mista com administracao publica",NA,NA,4422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"2106201","Luís Domingues","MA","Sociedade de economia mista com administracao publica",NA,NA,4691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,"2107209","Nina Rodrigues","MA","Sociedade de economia mista com administracao publica",NA,NA,2665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"2107704","Paraibano","MA","Sociedade de economia mista com administracao publica",NA,NA,12989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"2108108","Paulo Ramos","MA","Sociedade de economia mista com administracao publica",NA,NA,8627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,"2110807","São Félix de Balsas","MA","Sociedade de economia mista com administracao publica",NA,NA,1199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"2112100","Timbiras","MA","Sociedade de economia mista com administracao publica",NA,NA,11833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"2200103","Agricolândia","PI","Sociedade de economia mista com administracao publica",4057,NA,3742,163,114,NA,NA,NA,NA,NA,112598,NA,114849,33964,56738,NA,NA,NA,NA,NA,NA,NA,NA
2000,"2201101","Avelino Lopes","PI","Sociedade de economia mista com administracao publica",NA,NA,5118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"2202059","Cabeceiras do Piauí","PI","Sociedade de economia mista com administracao publica",NA,NA,1389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"2202059","Cabeceiras do Piauí","PI","Sociedade de economia mista com administracao publica",NA,NA,1276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"2203503","Elesbão Veloso","PI","Sociedade de economia mista com administracao publica",NA,NA,10133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"2207405","Palmeira do Piauí","PI","Sociedade de economia mista com administracao publica",NA,NA,1236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"2207504","Palmeirais","PI","Sociedade de economia mista com administracao publica",NA,NA,4423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"2207504","Palmeirais","PI","Sociedade de economia mista com administracao publica",NA,NA,4381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"2209500","Santo Inácio do Piauí","PI","Sociedade de economia mista com administracao publica",NA,NA,1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"2209609","São Félix do Piauí","PI","Sociedade de economia mista com administracao publica",NA,NA,1042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"2211209","Uruçuí","PI","Sociedade de economia mista com administracao publica",10708,NA,9611,375,322,NA,NA,NA,NA,NA,377709,NA,329833,3755.06,5511,NA,NA,NA,NA,NA,NA,NA,NA
2020,"2901601","Antas","BA","Sociedade de economia mista com administracao publica",10042,NA,7257,438.77,355.13,923.45,NA,NA,NA,1808048.68,1808048.68,NA,2068051.98,284016.11,87441.68,0,111544.6,NA,NA,NA,NA,NA,NA
2018,"2901700","Antônio Cardoso","BA","Sociedade de economia mista com administracao publica",5028,NA,3263,187.89,159.92,430,NA,NA,NA,793817.11,793817.11,NA,787975.24,168821.06,1162475.69,0,1162475.69,NA,NA,NA,0,0,0
2017,"2903276","Barrocas","BA","Sociedade de economia mista com administracao publica",13772,NA,6540,1132.53,980.3,1812.42,NA,NA,NA,1611824.12,1611824.12,NA,1579778.78,483495.6,0,0,0,NA,NA,NA,0,0,0
2019,"2904001","Boninal","BA","Sociedade de economia mista com administracao publica",6361,NA,4833,200.98,206.8,99.86,NA,NA,NA,1057538.18,1057538.18,NA,1060285.15,39802.24,0,0,0,NA,NA,NA,NA,NA,NA
2019,"2904704","Buerarema","BA","Sociedade de economia mista com administracao publica",14570,NA,15067,618.51,507.61,446.77,NA,NA,NA,2735929.22,2735929.22,NA,2696736.74,81627.48,0,0,0,NA,NA,NA,NA,NA,NA
2019,"2909000","Cordeiros","BA","Sociedade de economia mista com administracao publica",5116,NA,2690,23.19,175.31,17.48,NA,NA,NA,890098.83,890098.83,NA,887836.99,62273.1,19901.2,0,19901.2,NA,NA,NA,NA,NA,NA
2017,"2910008","Dário Meira","BA","Sociedade de economia mista com administracao publica",5493,NA,4646,241.72,242.03,127.33,NA,NA,NA,956166.65,956166.65,NA,806939.51,37043.46,135643.89,0,155757.73,NA,NA,NA,0,0,0
2017,"2913457","Igrapiúna","BA","Sociedade de economia mista com administracao publica",4253,NA,4545,237.74,174.72,114.15,NA,NA,NA,701648.57,701648.57,NA,717886.78,34849.74,0,0,0,NA,NA,NA,0,0,0
2019,"2915007","Itaeté","BA","Sociedade de economia mista com administracao publica",8601,NA,6680,374.94,322.8,808.29,NA,NA,NA,1643377.24,1643377.24,NA,1736542.3,188149.87,0,0,0,NA,NA,NA,NA,NA,NA
2017,"2916500","Itapicuru","BA","Sociedade de economia mista com administracao publica",18688,NA,7492,810.69,721.09,1361.29,NA,NA,NA,2441597.69,2441597.69,NA,2484873.42,221521.48,491203.82,0,564041.56,NA,NA,NA,0,0,0
2019,"2916609","Itapitanga","BA","Sociedade de economia mista com administracao publica",8108,NA,7670,306.91,292.97,125,NA,NA,NA,1495934.38,1495934.38,NA,1421300.13,44792.66,0,0,0,NA,NA,NA,NA,NA,NA
2020,"2919801","Macaúbas","BA","Sociedade de economia mista com administracao publica",1852,NA,16430,100.05,78.15,255.44,NA,NA,NA,374785.24,374785.24,NA,404748.21,54760.54,116143.85,0,121410.24,NA,NA,NA,NA,NA,NA
2018,"2920452","Mansidão","BA","Sociedade de economia mista com administracao publica",6883,NA,5144,236.32,188.54,538,NA,NA,NA,847817.29,847817.29,NA,836498.37,229259.56,774664.33,0,774664.33,NA,NA,NA,0,0,0
2018,"2920700","Maraú","BA","Sociedade de economia mista com administracao publica",3493,NA,3825,142.98,128.01,89,NA,NA,NA,600923.29,600923.29,NA,605307.14,29422.71,0,0,0,NA,NA,NA,0,0,0
2019,"2920809","Marcionílio Souza","BA","Sociedade de economia mista com administracao publica",8046,NA,5264,269.11,274.23,251.51,NA,NA,NA,1304412.59,1304412.59,NA,1338749.58,95090.92,0,0,0,NA,NA,NA,NA,NA,NA
2019,"2921104","Medeiros Neto","BA","Sociedade de economia mista com administracao publica",18228,NA,17957,986.44,790.6,735.69,NA,NA,NA,4293704.29,4293704.29,NA,4146881.78,259687.3,5525.96,0,5525.96,NA,NA,NA,NA,NA,NA
2017,"2921500","Monte Santo","BA","Sociedade de economia mista com administracao publica",18469,NA,8780,1147.18,937.86,2645.14,NA,NA,NA,2667951.08,2667951.08,NA,2478508.82,703266.49,0,0,0,NA,NA,NA,0,0,0
2018,"2923902","Pau Brasil","BA","Sociedade de economia mista com administracao publica",7901,NA,6790,318.76,280.56,19,NA,NA,NA,1346264.21,1346264.21,NA,1337010.44,9392.01,0,0,0,NA,NA,NA,0,0,0
2019,"2924900","Planaltino","BA","Sociedade de economia mista com administracao publica",4132,NA,3846,141.5,131.66,85.94,NA,NA,NA,603355.87,603355.87,NA,596742.17,63696.04,0,0,0,NA,NA,NA,NA,NA,NA
2017,"2925907","Quijingue","BA","Sociedade de economia mista com administracao publica",19179,NA,6706,1005.31,837.83,2170.34,NA,NA,NA,2637958.88,2637958.88,NA,2672920.23,1009308.62,0,0,0,NA,NA,NA,0,0,0
2018,"2927804","Santa Cruz da Vitória","BA","Sociedade de economia mista com administracao publica",5660,NA,4833,0,194.26,215,NA,NA,NA,837733.62,837733.62,NA,835223.84,56598.91,0,0,0,NA,NA,NA,0,0,0
2017,"2928901","São Desidério","BA","Sociedade de economia mista com administracao publica",12037,NA,10506,657.66,513.2,418.06,NA,NA,NA,2370516.34,2370516.34,NA,2340912.6,132715.69,0,0,0,NA,NA,NA,0,0,0
2018,"2929255","São Gabriel","BA","Sociedade de economia mista com administracao publica",17698,NA,10705,797.48,640.52,100,NA,NA,NA,3045761.93,3045761.93,NA,3261384.03,44967,0,0,0,NA,NA,NA,0,0,0
2019,"2931004","Tanhaçu","BA","Sociedade de economia mista com administracao publica",9110,NA,8452,495.61,369.69,281.89,NA,NA,NA,1867319.69,1867319.69,NA,1652623.66,119951.92,191477.96,0,191477.96,NA,NA,NA,NA,NA,NA
2019,"2932457","Umburanas","BA","Sociedade de economia mista com administracao publica",9725,NA,8492,422.59,259.06,1171.54,NA,NA,NA,1289024.14,1289024.14,NA,1296003.66,461192.66,0,0,0,NA,NA,NA,NA,NA,NA
2020,"2933109","Várzea do Poço","BA","Sociedade de economia mista com administracao publica",7560,NA,6156,0,264.92,0,NA,NA,NA,1268416.08,1268416.08,NA,1348578.61,103685.04,71123.56,0,92214.01,NA,NA,NA,NA,NA,NA
2008,"2903235","Barro Alto","BA","Sociedade de economia mista com administracao publica",5493,NA,6467,222.98,233.4,27.24,NA,NA,NA,333031.07,333031.07,NA,357844.16,83480.52,0,0,0,NA,NA,NA,NA,NA,NA
2011,"2903706","Boa Nova","BA","Sociedade de economia mista com administracao publica",9351,NA,5667,396.41,358.03,815.5,NA,NA,NA,702065,702065,NA,658526,151382,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"2906857","Capela do Alto Alegre","BA","Sociedade de economia mista com administracao publica",7801,NA,6110,412.32,459.84,841.86,NA,NA,NA,588314.36,588314.36,NA,697963.26,86054.17,0,0,0,NA,NA,NA,NA,NA,NA
2009,"2909109","Coribe","BA","Autarquia",13185,NA,5742,1350,580,340,NA,NA,NA,661067,661067,NA,661067,89686,21088,0,21088,NA,NA,NA,NA,NA,NA
2010,"2910404","Encruzilhada","BA","Sociedade de economia mista com administracao publica",5700,NA,5130,296.71,255.2,250.7,NA,NA,NA,514678,514678,NA,501969,56113,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"2911006","Floresta Azul","BA","Sociedade de economia mista com administracao publica",8152,NA,7343,323.47,346.34,283.25,NA,NA,NA,612119,612119,NA,637152,60129,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"2915304","Itagimirim","BA","Sociedade de economia mista com administracao publica",5740,NA,5610,346,261.15,209.37,NA,NA,NA,551432,551432,NA,602666,47231,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"2917409","Jacaraci","BA","Sociedade de economia mista com administracao publica",3546,NA,4923,119.67,149.73,141.1,NA,NA,NA,261486,261486,NA,279400,54547,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"2920452","Mansidão","BA","Administracao publica direta",1435,NA,4782,131.4,0,NA,NA,NA,NA,0,0,NA,0,21600,1e+05,0,1e+05,NA,NA,NA,NA,NA,NA
2008,"2921450","Mirante","BA","Sociedade de economia mista com administracao publica",2134,NA,1543,111.2,92.72,49.43,NA,NA,NA,150346.72,150346.72,NA,152859.96,18899.14,0,0,0,NA,NA,NA,NA,NA,NA
2010,"2922201","Muniz Ferreira","BA","Sociedade de economia mista com administracao publica",2757,NA,3394,136.29,125.07,68.21,NA,NA,NA,238511,238511,NA,294849,25194,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"2922508","Nazaré","BA","Sociedade de economia mista com administracao publica",21815,NA,22864,1248.63,1005.01,658.2,NA,NA,NA,1876440,1876440,NA,2052000,122358,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"2926608","Ribeira do Pombal","BA","Sociedade de economia mista com administracao publica",35043,NA,29756,1646.47,1608.22,1001.66,NA,NA,NA,3104824,3104824,NA,3403159,181616,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"2926905","Rio do Pires","BA","Sociedade de economia mista com administracao publica",5586,NA,5267,238.73,245.69,200.41,NA,NA,NA,451882,451882,NA,504633,58767,235000,NA,NA,NA,NA,NA,NA,NA,NA
2008,"2928000","Santaluz","BA","Sociedade de economia mista com administracao publica",23601,NA,21209,1045.13,947.78,21.24,NA,NA,NA,1367690.35,1367690.35,NA,1489659.08,333024.88,0,0,0,NA,NA,NA,NA,NA,NA
2011,"2928950","São Domingos","BA","Sociedade de economia mista com administracao publica",8785,NA,5929,284.74,422.3,188.84,NA,NA,NA,744975,744975,NA,811427,105326,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"2929255","São Gabriel","BA","Sociedade de economia mista com administracao publica",17825,NA,10495,704.62,693.61,23.17,NA,NA,NA,1235368,1235368,NA,1292772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"2929404","São Miguel das Matas","BA","Sociedade de economia mista com administracao publica",3869,NA,3370,145.38,166.5,155.05,NA,NA,NA,335181,335181,NA,383135,75387,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"2102408","Cajapió","MA","Sociedade de economia mista com administracao publica",1860,NA,3885,397.8,71.62,33.14,NA,NA,NA,104412.16,104412.16,NA,105195.37,50574.82,21755.28,0,21755.28,NA,NA,NA,NA,NA,NA
2010,"2102606","Cândido Mendes","MA","Sociedade de economia mista com administracao publica",3422,NA,11911,407.65,133.47,99.88,NA,NA,NA,144718.78,144718.78,NA,133330.91,136824,0,0,0,NA,NA,NA,NA,NA,NA
2007,"2104503","Governador Archer","MA","Sociedade de economia mista com administracao publica",5859,NA,6579,233,208,258,NA,NA,NA,216363.98,216363.98,NA,219350.83,107505,0,0,0,NA,NA,NA,NA,NA,NA
2010,"2104602","Governador Eugênio Barros","MA","Sociedade de economia mista com administracao publica",4682,NA,4690,506.88,0,224.67,NA,NA,NA,9204.83,9204.83,NA,7.28,75467.46,1844.65,0,1844.65,NA,NA,NA,NA,NA,NA
2007,"2104651","Governador Newton Bello","MA","Sociedade de economia mista com administracao publica",3762,NA,3779,282,86,191,NA,NA,NA,101944.89,101944.89,NA,109127.4,86250,0,0,0,NA,NA,NA,NA,NA,NA
2007,"2105500","João Lisboa","MA","Sociedade de economia mista com administracao publica",18009,NA,14847,1880,676,1021,NA,NA,NA,665102.96,665102.96,NA,617411.21,311586,0,0,0,NA,NA,NA,NA,NA,NA
2009,"2106631","Matões do Norte","MA","Sociedade de economia mista com administracao publica",2743,NA,3561,230,95,325.66,NA,NA,NA,0,0,NA,105267.92,123524.98,0,0,0,NA,NA,NA,NA,NA,NA
2007,"2106755","Miranda do Norte","MA","Sociedade de economia mista com administracao publica",18167,NA,14951,0,347,179,NA,NA,NA,267443.61,267443.61,NA,260139.28,70644,0,0,0,NA,NA,NA,NA,NA,NA
2007,"2109056","Porto Rico do Maranhão","MA","Sociedade de economia mista com administracao publica",2691,NA,2715,222,NA,116,NA,NA,NA,43062,43062,NA,72966,31208,0,0,0,NA,NA,NA,NA,NA,NA
2007,"2110005","Santa Luzia","MA","Sociedade de economia mista com administracao publica",24143,NA,22236,2017,557,1141,NA,NA,NA,612479.07,612479.07,NA,639861.8,421687,0,0,0,NA,NA,NA,NA,NA,NA
2007,"2110104","Santa Quitéria do Maranhão","MA","Sociedade de economia mista com administracao publica",12222,NA,13177,573,252,258,NA,NA,NA,307833.67,307833.67,NA,295627.07,54806,0,0,1800,NA,NA,NA,NA,NA,NA
2010,"2110401","São Benedito do Rio Preto","MA","Sociedade de economia mista com administracao publica",4847,NA,11049,662.54,14.43,390.02,NA,NA,NA,24168.59,24168.59,NA,38927.69,208989.54,0,0,0,NA,NA,NA,NA,NA,NA
2010,"2111003","São João Batista","MA","Sociedade de economia mista com administracao publica",1883,NA,5344,444.14,8.61,263.45,NA,NA,NA,0,0,NA,6139.92,75596,0,0,0,NA,NA,NA,NA,NA,NA
2010,"2114007","Zé Doca","MA","Sociedade de economia mista com administracao publica",16409,NA,30864,2052.16,587.22,1711.21,NA,NA,NA,702799.1,702799.1,NA,678555.06,69363.15,66047.4,0,66047.4,NA,NA,NA,NA,NA,NA
2011,"2205300","Jerumenha","PI","Sociedade de economia mista com administracao publica",2342,NA,2464,373.48,88.57,198.54,NA,NA,NA,222086.01,222086.01,NA,237008.86,95697.15,0,0,0,NA,NA,NA,NA,NA,NA
2011,"2206001","Marcos Parente","PI","Sociedade de economia mista com administracao publica",3561,NA,3844,271.39,119.7,84.26,NA,NA,NA,426585.67,426585.67,NA,475948.04,41058.54,0,0,0,NA,NA,NA,NA,NA,NA
2011,"2211209","Uruçuí","PI","Sociedade de economia mista com administracao publica",14586,NA,15690,1903.01,529.7,878.66,NA,NA,NA,1696941.84,1696941.84,NA,1759057.32,387241.71,0,0,22.8,NA,NA,NA,NA,NA,NA
2012,"2901601","Antas","BA","Sociedade de economia mista com administracao publica",10948,NA,6529,422.88,426.94,907.71,NA,NA,NA,950944.9,950944.9,NA,1016281.59,231925.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"2902005","Aracatu","BA","Sociedade de economia mista com administracao publica",5902,NA,4037,244.89,263.63,635.3,NA,NA,NA,742275.21,742275.21,NA,757813.54,184504.88,59882.29,67716.88,190919.25,NA,NA,NA,207142.03,0,207142.03
2013,"2902104","Araci","BA","Sociedade de economia mista com administracao publica",24961,NA,21160,848.5,966.6,1092.16,NA,NA,NA,2664839.07,2664839.07,NA,2776867.17,296182.44,49063.27,0,79535.79,NA,NA,NA,NA,NA,NA
2012,"2902302","Aratuípe","BA","Sociedade de economia mista com administracao publica",5811,NA,5534,250.4,237.24,69.32,NA,NA,NA,532559.73,532559.73,NA,551742.96,18645.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"2908804","Contendas do Sincorá","BA","Sociedade de economia mista com administracao publica",3011,NA,2131,147.54,136.91,65.4,NA,NA,NA,383457.26,383457.26,NA,387913.31,35824.76,2013.62,2277.07,5459.41,NA,NA,NA,0,0,0
2015,"2910602","Esplanada","BA","Sociedade de economia mista com administracao publica",27761,NA,23312,894.51,1132.66,672.97,NA,NA,NA,3361499.96,3361499.96,NA,3119360,289483.83,1116.29,1262.34,3026.53,NA,NA,NA,0,0,0
2014,"2910602","Esplanada","BA","Sociedade de economia mista com administracao publica",27847,NA,23067,867.23,1179.77,1030.54,NA,NA,NA,3082205.92,3082205.92,NA,2709105.36,236222.08,78542.98,0,87371.92,NA,NA,NA,NA,NA,NA
2014,"2910909","Firmino Alves","BA","Sociedade de economia mista com administracao publica",5588,NA,4645,173.82,190.34,18.37,NA,NA,NA,521956.19,521956.19,NA,511078.67,2173.68,17068.76,0,18987.44,NA,NA,NA,NA,NA,NA
2012,"2911204","Gandu","BA","Sociedade de economia mista com administracao publica",22792,NA,25241,1389.77,1000.66,1399.61,NA,NA,NA,2276056.03,2276056.03,NA,2400929.05,290841.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"2911659","Guajeru","BA","Sociedade de economia mista com administracao publica",3397,NA,1832,95.93,137,174.59,NA,NA,NA,365150.12,365150.12,NA,210247.91,46734.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"2911907","Iaçu","BA","Sociedade de economia mista com administracao publica",25121,NA,19841,1126.15,1080.86,581.49,NA,NA,NA,2613919.86,2613919.86,NA,2620020.65,103956.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"2912806","Ibirapuã","BA","Sociedade de economia mista com administracao publica",5872,NA,4939,158.73,175.31,248.38,NA,NA,NA,682799.9,682799.9,NA,678513.25,49250,59505.67,0,66194.64,NA,NA,NA,NA,NA,NA
2015,"2915700","Itamari","BA","Sociedade de economia mista com administracao publica",5403,NA,6290,274.17,237.45,211.39,NA,NA,NA,591891.92,591891.92,NA,535171.44,88478.35,458.61,518.61,1243.4,NA,NA,NA,0,0,0
2012,"2919405","Licínio de Almeida","BA","Sociedade de economia mista com administracao publica",3689,NA,6231,145.01,154.29,114.46,NA,NA,NA,344924.63,344924.63,NA,350708.2,31082,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"2920700","Maraú","BA","Sociedade de economia mista com administracao publica",3680,NA,3948,143.9,160.78,93.69,NA,NA,NA,444261.81,444261.81,NA,461363.94,25504.97,355.69,402.23,964.37,NA,NA,NA,0,0,0
2016,"2920908","Mascote","BA","Sociedade de economia mista com administracao publica",11463,NA,11807,470.8,509.7,339.51,NA,NA,NA,1421859.68,1421859.68,NA,1436979.82,93320.53,11838.04,10854.9,29402.36,NA,NA,NA,0,0,0
2012,"2921500","Monte Santo","BA","Sociedade de economia mista com administracao publica",18790,NA,8792,832.73,710.46,2113.09,NA,NA,NA,1722158.84,1722158.84,NA,1637860.78,1685.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"2921609","Morpará","BA","Sociedade de economia mista com administracao publica",6266,NA,5507,281.52,276.3,162.61,NA,NA,NA,634600.59,634600.59,NA,645781.89,29976.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"2921807","Mortugaba","BA","Sociedade de economia mista com administracao publica",7293,NA,5900,266.82,322.64,237.16,NA,NA,NA,970452.7,970452.7,NA,961463.47,69373.08,2875.21,2636.42,7141.21,NA,NA,NA,0,0,0
2014,"2925006","Planalto","BA","Sociedade de economia mista com administracao publica",18371,NA,16056,718.2,721.65,1295.07,NA,NA,NA,1765961.94,1765961.94,NA,1772767.67,258117.13,86286.92,0,95986.35,NA,NA,NA,NA,NA,NA
2012,"2929701","Sátiro Dias","BA","Sociedade de economia mista com administracao publica",8747,NA,4353,310.51,340.66,366.14,NA,NA,NA,750841.98,750841.98,NA,747050.29,103698.61,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"2930808","Souto Soares","BA","Sociedade de economia mista com administracao publica",9033,NA,6616,296.87,336.58,4.9,NA,NA,NA,991422.22,991422.22,NA,1011988.92,4096.7,260909.82,73664.1,409067.28,NA,NA,NA,180573.83,0,180573.83
2014,"2930808","Souto Soares","BA","Sociedade de economia mista com administracao publica",6826,NA,6548,249.4,259.41,13.55,NA,NA,NA,708278.96,708278.96,NA,745430.12,2782.64,53495.92,0,59509.34,NA,NA,NA,NA,NA,NA
2015,"2931004","Tanhaçu","BA","Sociedade de economia mista com administracao publica",11642,NA,8816,683.57,509.84,185.57,NA,NA,NA,1414069.52,1414069.52,NA,1356250.71,67968.71,926902.62,293651.15,1463279.38,NA,NA,NA,0,0,0
2012,"2932002","Uauá","BA","Sociedade de economia mista com administracao publica",16003,NA,10637,781.55,706.06,785.83,NA,NA,NA,1729415.04,1729415.04,NA,1827388.35,220119.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"2932408","Uibaí","BA","Sociedade de economia mista com administracao publica",14483,NA,8834,772.97,704.8,2286.92,NA,NA,NA,1771647.73,1771647.73,NA,1815210.28,618169.68,24569.24,27783.71,84852.55,NA,NA,NA,132269.73,0,132269.73
2014,"2933109","Várzea do Poço","BA","Sociedade de economia mista com administracao publica",7415,NA,6259,271.56,430.14,388.69,NA,NA,NA,754363.54,754363.54,NA,777265.35,2120.63,29698.25,0,33036.6,NA,NA,NA,NA,NA,NA
