"ano","id_municipio_nome","sigla_uf","natureza_juridica","populacao_atendida_agua","populacao_atentida_esgoto","populacao_urbana","volume_agua_produzido","volume_agua_faturado","consumo_eletrico_sistemas_agua","consumo_eletrico_sistemas_esgoto","volume_esgoto_tratado","volume_esgoto_faturado","receita_operacional_direta","receita_operacional_direta_agua","receita_operacional_direta_esgoto","arrecadacao_total","despesa_energia","investimento_agua_prestador","investimento_esgoto_prestador","investimento_total_prestador","investimento_agua_municipio","investimento_esgoto_municipio","investimento_total_municipio","investimento_agua_estado","investimento_esgoto_estado","investimento_total_estado"
2006,"Jaguaquara","BA","Sociedade de economia mista com administracao publica",NA,0,39123,NA,NA,NA,NA,NA,NA,1980191.93,NA,0,2036819.25,407347.13,NA,1010000,1010000,NA,NA,NA,NA,NA,NA
2004,"Maiquinique","BA","Sociedade de economia mista com administracao publica",NA,0,5023,NA,NA,NA,NA,NA,NA,339810.89,NA,0,314989.31,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2004,"Mairi","BA","Sociedade de economia mista com administracao publica",NA,0,9427,NA,NA,NA,NA,NA,NA,455189.66,NA,0,459679.81,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Planalto","BA","Sociedade de economia mista com administracao publica",NA,0,11763,NA,NA,NA,NA,NA,NA,614704.38,NA,0,626867.59,239353.71,NA,0,46000,NA,NA,NA,NA,NA,NA
2006,"Quixabeira","BA","Sociedade de economia mista com administracao publica",NA,0,3074,NA,NA,NA,NA,NA,NA,200126.58,NA,0,203089.8,54764.84,NA,0,0,NA,NA,NA,NA,NA,NA
2003,"Tanquinho","BA","Sociedade de economia mista com administracao publica",NA,0,4490,NA,NA,NA,0,0,0,214952.03,NA,0,253188,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2005,"Buriti","MA","Sociedade de economia mista com administracao publica",NA,0,7432,NA,NA,NA,0,0,0,92267.06,NA,0,43151.82,127096.66,NA,0,0,NA,NA,NA,NA,NA,NA
2005,"João Lisboa","MA","Sociedade de economia mista com administracao publica",NA,0,13539,NA,NA,NA,0,0,0,365579.47,NA,0,375947.91,322065.91,NA,0,27839.91,NA,NA,NA,NA,NA,NA
2006,"Lima Campos","MA","Sociedade de economia mista com administracao publica",NA,0,6252,NA,NA,NA,0,0,0,246482.04,NA,0,220455.14,88334.85,NA,0,22682.3,NA,NA,NA,NA,NA,NA
2004,"Maranhãozinho","MA","Sociedade de economia mista com administracao publica",NA,0,5974,NA,NA,NA,NA,NA,NA,66436.35,NA,0,49820.53,3936.95,NA,0,0,NA,NA,NA,NA,NA,NA
2004,"Nina Rodrigues","MA","Sociedade de economia mista com administracao publica",NA,0,3528,NA,NA,NA,NA,NA,NA,126537.41,NA,0,72840.7,NA,NA,0,500,NA,NA,NA,NA,NA,NA
2004,"Nova Iorque","MA","Sociedade de economia mista com administracao publica",NA,0,2482,NA,NA,NA,NA,NA,NA,0,NA,0,0,9694.29,NA,0,0,NA,NA,NA,NA,NA,NA
2003,"Pedreiras","MA","Sociedade de economia mista com administracao publica",NA,0,32957,NA,NA,NA,0,0,0,1353462,NA,0,1326533,637576,NA,0,2847907,NA,NA,NA,NA,NA,NA
2005,"Peri Mirim","MA","Sociedade de economia mista com administracao publica",NA,0,3107,NA,NA,NA,0,0,0,52904.74,NA,0,41261.29,41220.65,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Santa Luzia","MA","Sociedade de economia mista com administracao publica",NA,0,25434,NA,NA,NA,0,0,0,610672.71,NA,0,546189.64,450154.97,NA,0,119365.92,NA,NA,NA,NA,NA,NA
